需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
权限系统增加根据orgcodelist批量查询租户,财资数字化,,,,,2026,2026/03/05,2026/03/11,,330,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,72%,,,,,,,,,,,,,,2.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/03/04,非交付与质量中心,,,,false,,,4.0,,2026/03/04 14:15,4.0,,谭嘉男,开发团队C,,,2026/03/04,,,,,,,,,,,,,,,,暂无,,2026/03/04,非交付与质量中心,,,,false,,,4.0,,2026/03/04 14:15,4.0,,谭嘉男,,,2026/03/04,
流程引擎查询流程模板逻辑调整,财资数字化,,,,,2026,2026/02/28,2026/03/12,,330,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,79%,,,,,,,,,,,,,,8.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/02/26,非交付与质量中心,,,,false,,,13.0,,2026/02/26 18:19,13.0,,谭嘉男,开发团队C,,,2026/02/26,,,,,,,,,,,,,,,,暂无,,2026/02/26,非交付与质量中心,,,,false,,,13.0,,2026/02/26 18:19,13.0,,谭嘉男,,,2026/02/26,
财资权限同步服务定时任务修改,财资数字化,,,,,2026,2026/02/26,2026/03/01,,330,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,100%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/02/26,非交付与质量中心,,,,false,,,3.0,,2026/02/26 18:15,3.0,,谭嘉男,开发团队C,,,2026/02/26,,,,,,,,,,,,,,,,暂无,,2026/02/26,非交付与质量中心,,,,false,,,3.0,,2026/02/26 18:15,3.0,,谭嘉男,,,2026/02/26,
流程引擎审核模板信息修改,财资数字化,,,,,2026,2026/02/24,2026/03/05,,330,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,79%,,,,,,,,,,,,,,10.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/02/24,非交付与质量中心,,,,false,,,15.0,,2026/02/24 15:42,15.0,,谭嘉男,开发团队C,,,2026/02/24,,,,,,,,,,,,,,,,暂无,,2026/02/24,非交付与质量中心,,,,false,,,15.0,,2026/02/24 15:42,15.0,,谭嘉男,,,2026/02/24,
流程引擎审批记录展示授权人,财资数字化,,,,,2026,2026/02/11,2026/03/19,,330,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,100%,,,,,,,,,,,,,,15.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/02/13,非交付与质量中心,,,,false,,,30.0,,2026/02/13 10:02,30.0,,谭嘉男,开发团队C,,,2026/02/13,,,,,,,,,,,,,,,,暂无,,2026/02/13,非交付与质量中心,,,,false,,,30.0,,2026/02/13 10:02,30.0,,谭嘉男,,,2026/02/13,
加油系统--运营中心--报表中心--一票到底报表,财资数字化,数字化赋能领域,财务数字化,加油系统,加油系统-运营中心,2026,2026/02/11,2026/02/13,P0,,任若男,任若男,"李京京,李洪超",李京京,开发,61%,,,,,,,,,,,,,,24.0,0%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2026/02/12,非交付与质量中心,,,开发中,true,,,67.0,,2026/02/12 15:29,67.0,,任若男,产业赋能子链群,,,2026/02/12,,,,,,,,,,,,,,,,暂无,,2026/02/12,非交付与质量中心,,,开发中,true,,,67.0,,2026/02/12 15:29,67.0,,任若男,,,2026/02/12,
财小智v1.0,财资数字化,数字化赋能领域,财资数字化,财小智,财小智问答能力建设,2026,2026/02/01,2026/02/28,P0,228,任若男,张小禹,李京京,李京京,开发,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Claude+Cursor,财资,10,5,200.00%,编码效率提升,,,,,12.0,83%,,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/02/04,交付与质量中心,,,开发中,true,,,24.0,,2026/02/04 14:42,24.0,,张小禹,资金税务数字化子链群,,,2026/02/04,,,,,,,,,,,,,,,,暂无,,2026/02/04,交付与质量中心,,,开发中,true,,,24.0,,2026/02/04 14:42,24.0,,张小禹,,,2026/02/04,
权限系统法人公司数据来源修改,财资数字化,,,,,2026,2026/01/28,2026/02/17,P1,228,谭嘉男,崔斌,谭嘉男,谭嘉男,,100%,,,,,,,,,,,,,,9.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/30,非交付与质量中心,,,,false,,,10.0,,2026/01/30 11:16,10.0,,谭嘉男,开发团队C,,,2026/01/30,,,,,,,,,,,,,,,,暂无,,2026/01/30,非交付与质量中心,,,,false,,,10.0,,2026/01/30 11:16,10.0,,谭嘉男,,,2026/01/30,
商互通电子钱包结算迭代,财资数字化,,,建共享一体化平台，推进BCC1230&EVS730下线,商互通&稽核中心&钱包中台等,2026,2026/01/01,2026/01/31,P1,130,陆立垚,常耀刚,黄伟雄,黄伟雄,,100%,,,,,,,,,,,,,,2.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/27,非交付与质量中心,,,,false,,,6.0,,2026/01/27 10:47,6.0,,常耀刚,质量运营数字化子链群,,,2026/01/27,,,,,,,,,,,,,,,,,,2026/01/27,非交付与质量中心,,,,false,,,6.0,,2026/01/27 10:47,6.0,,常耀刚,,,2026/01/27,
智客系统权限申请审批流程迭代,财资数字化,,财资数字化,客户管理项目,客户管理项目-应收信用,2026,2026/01/26,2026/02/06,P0,130,刘晓红,马素英,谭嘉男,谭嘉男,,100%,,,,,,,,,,,,,,3.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,5.0,,2026/01/26 17:19,5.0,,马素英,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,5.0,,2026/01/26 17:19,5.0,,马素英,,,2026/01/26,
